Commodity,commodity,year,Type,msprice,msp_filter
BAJRI,bajri,2012,Kharif Crops,1175,1
BAJRI,bajri,2013,Kharif Crops,1310,1
BAJRI,bajri,2014,Kharif Crops,1250,1
BAJRI,bajri,2015,Kharif Crops,1275,1
BAJRI,bajri,2016,Kharif Crops,1330,1
BARLI,barli,2012,Rabi Crops,980,1
BARLI,barli,2013,Rabi Crops,1100,1
BARLI,barli,2014,Rabi Crops,1150,1
BARLI,barli,2015,Rabi Crops,1225,1
BARLI,barli,2016,Rabi Crops,1310,1
COCONUT,coconut,2012,Other Crops,1400,1
COCONUT,coconut,2013,Other Crops,1425,1
COCONUT,coconut,2014,Other Crops,1425,1
COCONUT,coconut,2015,Other Crops,1500,1
COCONUT,coconut,2016,Other Crops,1600,1
Copra (Ball)_Yellow,copra (ball)_yellow,2012,Other Crops,5350,1
Copra (Ball)_Yellow,copra (ball)_yellow,2013,Other Crops,5500,1
Copra (Ball)_Yellow,copra (ball)_yellow,2014,Other Crops,5500,1
Copra (Ball)_Yellow,copra (ball)_yellow,2015,Other Crops,5830,1
Copra (Ball)_Yellow,copra (ball)_yellow,2016,Other Crops,6240,1
Copra (Milling)_Yellow,copra (milling)_yellow,2012,Other Crops,5100,1
Copra (Milling)_Yellow,copra (milling)_yellow,2013,Other Crops,5250,1
Copra (Milling)_Yellow,copra (milling)_yellow,2014,Other Crops,5250,1
Copra (Milling)_Yellow,copra (milling)_yellow,2015,Other Crops,5550,1
Copra (Milling)_Yellow,copra (milling)_yellow,2016,Other Crops,5950,1
COTTON,cotton,2012,Kharif Crops,3600,1
COTTON,cotton,2013,Kharif Crops,3700,1
COTTON,cotton,2014,Kharif Crops,3750,1
COTTON,cotton,2015,Kharif Crops,3800,1
COTTON,cotton,2016,Kharif Crops,3860,1
Cotton_Long Staple,cotton_long staple,2012,Kharif Crops,3900,1
Cotton_Long Staple,cotton_long staple,2013,Kharif Crops,4000,1
Cotton_Long Staple,cotton_long staple,2014,Kharif Crops,4050,1
Cotton_Long Staple,cotton_long staple,2015,Kharif Crops,4100,1
Cotton_Long Staple,cotton_long staple,2016,Kharif Crops,4160,1
GR.NUT KERNELS,gr.nut kernels,2012,Kharif Crops,3700,1
GR.NUT KERNELS,gr.nut kernels,2013,Kharif Crops,4000,1
GR.NUT KERNELS,gr.nut kernels,2014,Kharif Crops,4000,1
GR.NUT KERNELS,gr.nut kernels,2015,Kharif Crops,4030,1
GR.NUT KERNELS,gr.nut kernels,2016,Kharif Crops,4120,1
Gram_Yellow,gram_yellow,2012,Rabi Crops,3000,1
Gram_Yellow,gram_yellow,2013,Rabi Crops,3100,1
Gram_Yellow,gram_yellow,2014,Rabi Crops,3175,1
Gram_Yellow,gram_yellow,2015,Rabi Crops,3425,1
Gram_Yellow,gram_yellow,2016,Rabi Crops,3512,1
Jowar_Hybrid,jowar_hybrid,2012,Kharif Crops,1500,1
Jowar_Hybrid,jowar_hybrid,2013,Kharif Crops,1500,1
