date,arrivals_in_qtl,modal_price,apmc_commodity,label
2014-09-01,2779,1744,aamgaon_paddy-unhusked,0
2014-10-01,2195,1670,aamgaon_paddy-unhusked,0
2014-11-01,10153,1507,aamgaon_paddy-unhusked,0
2014-12-01,14608,1518,aamgaon_paddy-unhusked,0
2015-02-01,7674,1505,aamgaon_paddy-unhusked,0
2015-03-01,5294,1419,aamgaon_paddy-unhusked,0
2015-04-01,2728,1412,aamgaon_paddy-unhusked,0
2015-05-01,3688,1402,aamgaon_paddy-unhusked,0
2015-06-01,9312,1339,aamgaon_paddy-unhusked,0
2015-07-01,5499,1510,aamgaon_paddy-unhusked,0
2015-08-01,5046,1562,aamgaon_paddy-unhusked,0
2015-09-01,3535,1691,aamgaon_paddy-unhusked,0
2015-10-01,3326,1491,aamgaon_paddy-unhusked,0
2015-11-01,7991,1512,aamgaon_paddy-unhusked,0
2015-12-01,14645,1564,aamgaon_paddy-unhusked,0
2016-01-01,9539,1523,aamgaon_paddy-unhusked,0
2016-02-01,6883,1558,aamgaon_paddy-unhusked,0
2016-03-01,2908,1633,aamgaon_paddy-unhusked,0
2016-04-01,1481,1657,aamgaon_paddy-unhusked,0
2016-05-01,10019,1578,aamgaon_paddy-unhusked,0
2016-06-01,10278,1604,aamgaon_paddy-unhusked,0
2016-07-01,1805,1693,aamgaon_paddy-unhusked,0
2016-08-01,1819,1667,aamgaon_paddy-unhusked,0
2016-09-01,1970,1697,aamgaon_paddy-unhusked,0
2016-10-01,4523,1445,aamgaon_paddy-unhusked,0
2016-11-01,6382,1419,aamgaon_paddy-unhusked,0
2015-09-01,25,8315,aarni_black gram,1
2016-09-01,67,6317,aarni_black gram,1
2016-10-01,100,6333,aarni_black gram,1
2014-09-01,410,2400,aarni_gram,2
2014-10-01,365,2400,aarni_gram,2
2015-01-01,175,2100,aarni_gram,2
2015-04-01,4690,3875,aarni_gram,2
2015-05-01,660,4100,aarni_gram,2
2015-07-01,60,4245,aarni_gram,2
2015-08-01,50,3980,aarni_gram,2
2016-02-01,3685,4020,aarni_gram,2
2016-03-01,5205,4038,aarni_gram,2
2016-04-01,1009,5323,aarni_gram,2
2016-05-01,1135,5459,aarni_gram,2
2016-06-01,790,6200,aarni_gram,2
2015-08-01,10,6900,aarni_green gram,3
2015-09-01,65,7088,aarni_green gram,3
2016-09-01,55,5250,aarni_green gram,3
2014-09-01,1350,3830,aarni_ground nut pods (dry),4
2014-10-01,750,3717,aarni_ground nut pods (dry),4
2015-06-01,3610,5200,aarni_ground nut pods (dry),4
2015-08-01,530,5825,aarni_ground nut pods (dry),4
2016-04-01,265,4800,aarni_ground nut pods (dry),4
2016-06-01,3974,5531,aarni_ground nut pods (dry),4
2016-07-01,420,5850,aarni_ground nut pods (dry),4
2016-08-01,100,5125,aarni_ground nut pods (dry),4
2014-09-01,70,4650,aarni_pigeon pea (tur),5
2014-10-01,50,4550,aarni_pigeon pea (tur),5
2015-03-01,19792,5698,aarni_pigeon pea (tur),5
2015-04-01,16510,5825,aarni_pigeon pea (tur),5
2015-06-01,774,6750,aarni_pigeon pea (tur),5
2015-08-01,275,8623,aarni_pigeon pea (tur),5
2015-09-01,223,9230,aarni_pigeon pea (tur),5
2015-10-01,16,10775,aarni_pigeon pea (tur),5
2015-12-01,4361,8579,aarni_pigeon pea (tur),5
2016-01-01,12666,8778,aarni_pigeon pea (tur),5
2016-02-01,8657,8034,aarni_pigeon pea (tur),5
2016-03-01,4590,7931,aarni_pigeon pea (tur),5
2016-04-01,1990,8720,aarni_pigeon pea (tur),5
2016-05-01,2300,8517,aarni_pigeon pea (tur),5
2016-06-01,3860,8511,aarni_pigeon pea (tur),5
2016-07-01,1750,8280,aarni_pigeon pea (tur),5
2016-08-01,410,5150,aarni_pigeon pea (tur),5
2016-09-01,2145,6650,aarni_pigeon pea (tur),5
2016-10-01,1353,6371,aarni_pigeon pea (tur),5
2015-04-01,3017,1006,aarni_sorgum(jawar),6
2015-06-01,182,1000,aarni_sorgum(jawar),6
2015-08-01,175,1275,aarni_sorgum(jawar),6
2015-09-01,165,1273,aarni_sorgum(jawar),6
2014-09-01,165,3270,aarni_soybean,7
2014-10-01,3080,3051,aarni_soybean,7
2014-11-01,5950,3126,aarni_soybean,7
2014-12-01,2865,2971,aarni_soybean,7
2015-01-01,775,2976,aarni_soybean,7
2015-02-01,1780,3150,aarni_soybean,7
2015-03-01,2535,3150,aarni_soybean,7
2015-04-01,630,3200,aarni_soybean,7
2015-06-01,575,3650,aarni_soybean,7
2015-07-01,40,3130,aarni_soybean,7
2015-08-01,350,3081,aarni_soybean,7
2015-09-01,1159,3155,aarni_soybean,7
2015-11-01,7592,3518,aarni_soybean,7
2015-12-01,2030,3481,aarni_soybean,7
2016-01-01,2315,3400,aarni_soybean,7
2016-02-01,1150,3400,aarni_soybean,7
2016-05-01,750,3550,aarni_soybean,7
2016-06-01,1180,3467,aarni_soybean,7
2016-07-01,605,3450,aarni_soybean,7
2016-09-01,1485,3115,aarni_soybean,7
2014-09-01,539,1388,aarni_wheat(husked),8
2014-10-01,390,1386,aarni_wheat(husked),8
2015-03-01,390,1125,aarni_wheat(husked),8
2015-04-01,327,1175,aarni_wheat(husked),8
2015-06-01,150,1250,aarni_wheat(husked),8
2015-08-01,160,1445,aarni_wheat(husked),8
2015-09-01,236,1471,aarni_wheat(husked),8
2016-05-01,40,1600,aarni_wheat(husked),8
2014-10-01,1,1725,achalpur_bajri,9
2015-01-01,2,1565,achalpur_bajri,9
2016-01-01,2,1700,achalpur_bajri,9
2016-02-01,2,1725,achalpur_bajri,9
2016-05-01,1,1700,achalpur_bajri,9
2014-11-01,1,4800,achalpur_batbati,10
2016-07-01,1,3100,achalpur_batbati,10
2014-09-01,4,4350,achalpur_black gram,11
2014-10-01,6,4400,achalpur_black gram,11
2014-11-01,6,4567,achalpur_black gram,11
2015-02-01,1,4350,achalpur_black gram,11
2015-09-01,1,7600,achalpur_black gram,11
2015-12-01,1,8500,achalpur_black gram,11
2016-01-01,53,7600,achalpur_black gram,11
2016-05-01,4,7222,achalpur_black gram,11
2016-06-01,8,9956,achalpur_black gram,11
2016-09-01,300,6505,achalpur_black gram,11
2016-11-01,182,5333,achalpur_black gram,11
2015-05-01,1,2750,achalpur_castor seed,12
2014-09-01,90,2550,achalpur_gram,13
2014-10-01,70,2581,achalpur_gram,13
2014-11-01,70,2533,achalpur_gram,13
2014-12-01,25,2435,achalpur_gram,13
2015-01-01,30,3050,achalpur_gram,13
2015-02-01,79,2917,achalpur_gram,13
2015-03-01,2,3100,achalpur_gram,13
2015-04-01,672,3623,achalpur_gram,13
2015-05-01,450,4181,achalpur_gram,13
2015-06-01,228,3839,achalpur_gram,13
2015-07-01,135,3986,achalpur_gram,13
2015-08-01,140,4390,achalpur_gram,13
2015-09-01,80,4558,achalpur_gram,13
2015-12-01,251,4297,achalpur_gram,13
2016-01-01,298,4329,achalpur_gram,13
2016-06-01,838,6508,achalpur_gram,13
2016-07-01,451,7579,achalpur_gram,13
2016-08-01,525,5975,achalpur_gram,13
2016-09-01,288,7441,achalpur_gram,13
2016-11-01,60,8200,achalpur_gram,13
2014-10-01,2,6550,achalpur_green gram,14
2015-05-01,26,6806,achalpur_green gram,14
2015-06-01,11,5825,achalpur_green gram,14
2015-07-01,15,5405,achalpur_green gram,14
2015-08-01,6,5809,achalpur_green gram,14
2015-09-01,11,6763,achalpur_green gram,14
2016-05-01,37,5892,achalpur_green gram,14
2016-09-01,4,5275,achalpur_green gram,14
2015-06-01,16,4000,achalpur_ground nut pods (dry),15
2015-12-01,1,3800,achalpur_ground nut pods (dry),15
2016-05-01,842,4281,achalpur_ground nut pods (dry),15
2016-06-01,314,4441,achalpur_ground nut pods (dry),15
2014-12-01,4,4150,achalpur_lentil,16
2015-05-01,7,5367,achalpur_lentil,16
2015-07-01,7,5282,achalpur_lentil,16
2015-09-01,1,6250,achalpur_lentil,16
2015-12-01,2,5100,achalpur_lentil,16
2016-01-01,1,5125,achalpur_lentil,16
2016-02-01,1,4200,achalpur_lentil,16
2016-03-01,1,4200,achalpur_lentil,16
2016-05-01,2,4875,achalpur_lentil,16
2016-06-01,2,5500,achalpur_lentil,16
2014-09-01,2,1338,achalpur_maize,17
2014-10-01,4,1315,achalpur_maize,17
2014-12-01,140,1342,achalpur_maize,17
2015-01-01,45,1369,achalpur_maize,17
2015-02-01,12,1350,achalpur_maize,17
2015-03-01,2,1360,achalpur_maize,17
2015-09-01,4,1450,achalpur_maize,17
2015-12-01,442,1409,achalpur_maize,17
2016-01-01,486,1473,achalpur_maize,17
2016-02-01,454,1483,achalpur_maize,17
2016-03-01,66,1337,achalpur_maize,17
2016-05-01,149,1322,achalpur_maize,17
2016-06-01,182,1417,achalpur_maize,17
2016-07-01,87,1563,achalpur_maize,17
2016-08-01,7,1575,achalpur_maize,17
